#SrNo	limit		cpu-speed-ratio to min CPU speed
0:dummy:1
21 : none :1.00
20 : 9500 :1.00
19 : 9000 :1.00
18 : 8500 :1.00
17 : 8000 :1.00
16 : 7500 :1.00
15 : 7000 :1.00
14 : 6500 :1.00
13 : 6000 :1.01
12 : 5500 :1.03
11 : 5000 :1.05
10 : 4500 :1.10
9 : 4000 :1.15
8 : 3500 :1.21
7 : 3000 :1.33
6 : 2500 :1.46
5 : 2000 :1.68
4 : 1500 :2.01
3 : 1000 :2.69
2 : 500 :3.99
1 : 250 :3.99
0 : 125 :3.99
