#Data of CPU Clock Frequency
#Sr No	CPU Speed
528	3900750
529	3901375
530	3901750
531	3900625
532	3839500
533	3901500
534	3901500
535	3901500
536	3901250
537	3804000
538	3900750
539	3900250
540	3900875
541	3851500
542	3877250
543	3901125
544	3900375
545	3874125
546	3900875
547	3901125
548	3901625
549	3900875
550	3900625
551	3900250
552	3900750
553	3900250
554	3901250
555	3792875
556	3900375
557	3900500
558	3780375
559	3806250
560	3901000
561	3836125
562	3900750
563	3860750
564	3901125
565	3900500
566	3835875
567	3900875
568	3901000
569	3882250
570	3900500
571	3901250
572	3900625
573	3901250
574	3900500
575	3901500
576	3900375
577	3901500
578	3885125
579	3843125
580	3876750
581	3900375
582	3887125
583	3900375
584	3900500
585	3900375
586	3900250
587	3894375
588	3900375
589	3898500
590	3897875
591	3900875
592	3900500
593	3900625
594	3892375
595	3900625
596	3900375
597	3900875
598	3889125
599	3890125
600	3900250
601	3900375
602	3900875
603	3900375
604	3900750
605	3900375
606	3894625
607	3868625
608	3901125
609	3901000
610	3866500
611	3901250
612	3900250
613	3900625
614	3900750
615	3900250
616	3900250
617	3900500
618	3828750
619	3722750
620	3900500
621	3901000
622	3892125
623	3901125
624	3796750
625	3837875
626	3901375
627	3875125
628	3901000
629	3853375
630	3900750
631	3853750
632	3900875
633	3901125
634	3900875
635	3855125
636	3884875
637	3809500
638	3900375
639	3886375
640	3823500
641	3816375
642	3851500
643	3820875
644	3830500
645	3852875
646	3853250
647	3854625
648	3845000
649	3831625
650	3812625
651	3795750
652	3831375
653	3800625
654	3738000
655	3800500
656	3713125
657	3773125
658	3790625
659	3797375
660	3800625
661	3770500
662	3771500
663	3786250
664	3717375
665	3720750
666	3807125
667	3848875
668	3808750
669	3859875
670	3747375
671	3599750
672	3444750
673	3795000
674	3499875
675	3637500
676	3536375
677	3440375
678	3699875
679	3500000
680	3540125
681	3556625
682	3522000
683	3699750
684	3534250
685	3569500
686	3461875
687	3563625
688	3514000
689	3540125
690	3524125
691	3501000
692	3558750
693	3738250
694	3577375
695	3538625
696	3584250
697	3597250
698	3577125
699	3520750
700	3564625
701	3558375
702	3583375
703	3597000
704	3592250
705	3550375
706	3616375
707	3639375
708	3642625
709	3700375
710	3680625
711	3647750
712	3615625
713	3599625
714	3657500
715	3600250
716	3623500
717	3631875
718	3564500
719	3659875
720	3681125
721	3700375
722	3686000
723	3700500
724	3699625
725	3699875
726	3700375
727	3668000
728	3700000
729	3672875
730	3663875
731	3637375
732	3699750
733	3634375
734	3699875
735	3659500
736	3676000
737	3699625
738	3671375
739	3691750
740	3694000
741	3700250
742	3694375
743	3700000
744	3683750
745	3700000
746	3631500
747	3673375
748	3700000
749	3670250
750	3696875
751	3685250
752	3700125
753	3700000
754	3686250
755	3699625
756	3630625
757	3676875
758	3695125
759	3642000
760	3628500
761	3634875
762	3628750
763	3652625
764	3618500
765	3641500
766	3646500
767	3623000
768	3652750
769	3635750
770	3628875
771	3654750
772	3664750
773	3656250
774	3643500
775	3818375
776	3654625
777	3598375
778	3647375
779	3630500
780	3680875
781	3658125
782	3686750
783	3700250
784	3679375
785	3620500
786	3651750
787	3640750
788	3637000
789	3629000
790	3643125
791	3670125
792	3829000
793	3657125
794	3600500
795	3628875
796	3600000
797	3656625
798	3612000
799	3626875
800	3600000
801	3660625
802	3658625
803	3623250
804	3613125
805	3655250
806	3629000
807	3634250
808	3653500
809	3635375
810	3642625
811	3628875
812	3613000
813	3630500
814	3655750
815	3642000
816	3626750
817	3634000
818	3631500
819	3638250
820	3657625
821	3629875
822	3673250
823	3638750
824	3648375
825	3612375
826	3626375
827	3800250
828	3669125
829	3701250
830	3654125
831	3694000
832	3609125
833	3655625
834	3642875
835	3638000
836	3587375
837	3638125
838	3673500
839	3700000
840	3685375
841	3685625
842	3700000
843	3699625
844	3669625
845	3685375
846	3735375
847	3700000
848	3786125
849	3786125
850	3706875
851	3736125
852	3740500
853	3778375
854	3766875
855	3751875
856	3753000
857	3742750
858	3786250
859	3742750
860	3789250
861	3706500
862	3729875
863	3699625
864	3712625
865	3767000
866	3748250
867	3760125
868	3786375
869	3713000
870	3723750
871	3839625
872	3774500
873	3873500
874	3837375
875	3833750
876	3842375
877	3849250
878	3854750
879	3792000
880	3810500
881	3900500
882	3815125
883	3873125
884	3809125
885	3833750
886	3829000
887	3753125
888	3820125
889	3856375
890	3844500
891	3794500
892	3828375
893	3832125
894	3710625
895	3800500
896	3828125
897	3854625
898	3854375
899	3845750
900	3800375
901	3826625
902	3900875
903	3841125
904	3840125
905	3842125
906	3843250
907	3840250
908	3812750
909	3812625
910	3901250
911	3901250
912	3887125
913	3901375
914	3901375
915	3872250
916	3700125
917	3888625
918	3900875
919	3816500
920	3873875
921	3893875
922	3900375
923	3877125
924	3884000
925	3872625
926	3900375
927	3870875
928	3603750
929	3884500
930	3900875
931	3893625
932	3871375
933	3805000
934	3872000
935	3747625
936	3900500
937	3900625
938	3884625
939	3900500
940	3893750
941	3886625
942	3900875
943	3774000
944	3802750
945	3820375
946	3901125
947	3901250
948	3838250
949	3888625
950	3901000
951	3883375
952	3873000
953	3834625
954	3855875
955	3872375
956	3900875
957	3900875
958	3900500
959	3901750
960	3875500
961	3843500
962	3901125
963	3901000
964	3901125
965	3901250
966	3901000
967	3901125
968	3901500
969	3895500
970	3900500
971	3878750
972	3885125
973	3878875
974	3848500
975	3886500
976	3900250
977	3884500
978	3900750
979	3867875
980	3900375
981	3900750
982	3900750
983	3900500
984	3900375
985	3901000
986	3901000
987	3900875
988	3901375
989	3894500
990	3901000
991	3900875
992	3901500
993	3901125
994	3901375
995	3757875
996	3901000
997	3875500
998	3900625
999	3900875
1000	3900375
1001	3900875
1002	3901000
1003	3901125
1004	3900750
1005	3901125
1006	3784250
1007	3900875
1008	3881250
1009	3901250
1010	3901250
1011	3901125
1012	3901250
1013	3900750
1014	3901500
1015	3901625
1016	3901500
1017	3789500
1018	3811875
1019	3881625
1020	3742375
1021	3901125
1022	3901375
1023	3808125
1024	3901000
1025	3901500
1026	3838375
1027	3900625
1028	3816750
1029	3900625
1030	3900500
1031	3814625
1032	3900625
1033	3900500
1034	3900500
1035	3807375
1036	3877250
1037	3872500
1038	3900875
1039	3859875
1040	3901500
1041	3811500
1042	3900750
1043	3900500
1044	3900500
1045	3901000
1046	3901000
1047	3900875
1048	3796875
1049	3900500
1050	3901500
1051	3900750
1052	3901500
1053	3802375
1054	3901000
1055	3901375
1056	3901125
1057	3864875
1058	3901250
1059	3900250
1060	3900625
1061	3901000
1062	3900375
1063	3900875
1064	3901125
1065	3773000
1066	3900250
1067	3901125
1068	3901125
1069	3900375
1070	3875875
1071	3699250
1072	3901125
1073	3900875
1074	3901000
1075	3901250
1076	3901375
1077	3773875
1078	3901375
1079	3900875
1080	3900875
1081	3901000
1082	3901000
1083	3900500
1084	3900625
1085	3857000
1086	3900625
1087	3688375
1088	3836250
1089	3901000
1090	3900375
1091	3834875
1092	3900625
1093	3900500
1094	3900375
1095	3900750
1096	3795875
1097	3900625
1098	3900250
1099	3895750
1100	3900125
1101	3900375
1102	3901000
1103	3869000
1104	3900375
1105	3895000
1106	3899000
1107	3900625
1108	3900625
1109	3901375
1110	3901000
1111	3901000
1112	3900875
1113	3900875
1114	3900375
1115	3900250
1116	3900750
1117	3900375
1118	3900750
1119	3901125
1120	3901000
1121	3901125
1122	3901000
1123	3900500
1124	3901125
1125	3901500
1126	3901875
1127	3814625
1128	3901000
1129	3900750
1130	3901250
1131	3900500
1132	3890625
1133	3900625
1134	3901000
1135	3901125
1136	3900250
1137	3900875
1138	3901125
1139	3849625
1140	3860875
1141	3901375
1142	3901250
1143	3857000
1144	3846000
1145	3875750
1146	3900625
1147	3901000
1148	3900750
1149	3901250
1150	3901375
1151	3868250
1152	3894875
1153	3877125
1154	3900875
1155	3900375
1156	3900625
1157	3900500
1158	3857500
1159	3881875
1160	3894875
1161	3900500
1162	3900500
1163	3900625
1164	3901000
1165	3900750
1166	3901250
1167	3900625
1168	3900875
1169	3901500
1170	3842750
1171	3836250
1172	3885250
1173	3881750
1174	3900625
1175	3865750
1176	3900750
1177	3871125
1178	3797375
1179	3813375
1180	3828500
1181	3848250
1182	3886500
1183	3889125
1184	3899000
1185	3878000
1186	3901250
1187	3887000
1188	3792500
1189	3900875
1190	3901000
1191	3706375
1192	3742000
1193	3777125
1194	3744500
1195	3725500
1196	3900500
1197	3901000
1198	3880750
1199	3900625
1200	3900625
1201	3900500
1202	3901750
1203	3863500
1204	3900750
1205	3900625
1206	3846125
1207	3901500
1208	3901250
1209	3855250
1210	3901125
1211	3901000
1212	3901375
1213	3901250
1214	3848000
1215	3901250
1216	3901875
1217	3675625
1218	3900250
1219	3900250
1220	3894875
1221	3900750
1222	3844375
1223	3901875
1224	3900875
1225	3861875
1226	3743750
1227	3880875
1228	3733250
1229	3893375
1230	3900500
1231	3900625
1232	3900875
1233	3858750
1234	3900875
1235	3817125
1236	3848375
1237	3868875
1238	3900375
1239	3773375
1240	3798375
1241	3876750
1242	3863750
1243	3821625
1244	3849125
1245	3770250
1246	3900500
1247	3860750
1248	3896125
1249	3830000
1250	3700750
1251	3901500
1252	3900750
1253	3901625
1254	3901125
1255	3875750
1256	3900875
1257	3901375
1258	3857625
1259	3900125
1260	3888375
1261	3901250
1262	3901000
1263	3901000
1264	3901250
1265	3895500
1266	3701375
1267	3900875
1268	3900750
1269	3900750
1270	3901000
1271	3900750
1272	3901000
1273	3901000
1274	3901500
1275	3882750
1276	3901125
1277	3900625
1278	3901625
1279	3900625
1280	3901125
1281	3900625
1282	3900625
1283	3900375
1284	3900500
1285	3901000
1286	3901250
1287	3901125
1288	3900875
1289	3901125
1290	3901125
1291	3900750
1292	3901000
1293	3900250
1294	3900375
1295	3900250
1296	3900375
1297	3900500
1298	3900500
1299	3900875
1300	3900625
1301	3901500
1302	3900750
1303	3901250
1304	3840125
1305	3767375
1306	3901000
1307	3901250
1308	3901000
1309	3901125
1310	3899875
1311	3900500
1312	3900625
1313	3900625
1314	3900500
1315	3900250
1316	3900875
1317	3814000
1318	3859375
1319	3896250
1320	3901000
1321	3901125
1322	3901375
1323	3861750
1324	3873500
1325	3900875
1326	3900375
1327	3900250
1328	3900750
1329	3885750
1330	3900750
1331	3900250
1332	3900250
1333	3900625
1334	3900500
1335	3900375
1336	3900500
1337	3883000
1338	3900625
1339	3900250
1340	3900375
1341	3900750
1342	3753125
1343	3832125
1344	3830625
1345	3869125
1346	3841375
1347	3788250
1348	3854500
1349	3868375
1350	3839125
1351	3892250
1352	3849875
1353	3842375
1354	3871375
1355	3900750
1356	3849250
1357	3900875
1358	3901125
1359	3838375
1360	3880625
1361	3873875
1362	3848375
1363	3827500
1364	3699500
1365	3894750
1366	3871750
1367	3846875
1368	3831375
1369	3837250
1370	3791500
1371	3901000
1372	3851625
1373	3857750
1374	3843500
1375	3810750
1376	3872625
1377	3800500
1378	3800000
1379	3800250
1380	3800875
1381	3777125
1382	3799250
1383	3808250
1384	3815375
1385	3800625
1386	3800125
1387	3813000
1388	3843375
1389	3800250
1390	3800125
1391	3800500
1392	3800500
1393	3773625
1394	3828625
1395	3847000
1396	3800125
1397	3800375
1398	3830750
1399	3772125
1400	3771500
1401	3711375
1402	3729125
1403	3790500
1404	3800500
1405	3800875
1406	3801250
1407	3800250
1408	3822375
1409	3800875
1410	3741625
1411	3772250
1412	3629250
1413	3800375
1414	3800625
1415	3800375
1416	3800375
1417	3800375
1418	3852250
1419	3721000
1420	3830875
1421	3842875
1422	3815500
1423	3640250
1424	3611875
