Size of memory array: 1024
   1024	      4		   0
   1024	      8		   1
   1024	     16		   1
   1024	     32		   1
   1024	     64		   1
   1024	    128		   1
   1024	    256		   0
   1024	    512		   1
Size of memory array: 2048
   2048	      4		   1
   2048	      8		   1
   2048	     16		   1
   2048	     32		   1
   2048	     64		   0
   2048	    128		   1
   2048	    256		   1
   2048	    512		   1
   2048	   1024		   1
Size of memory array: 4096
   4096	      4		   1
   4096	      8		   1
   4096	     16		   1
   4096	     32		   1
   4096	     64		   1
   4096	    128		   1
   4096	    256		   1
   4096	    512		   1
   4096	   1024		   0
   4096	   2048		   1
Size of memory array: 8192
   8192	      4		   1
   8192	      8		   1
   8192	     16		   1
   8192	     32		   1
   8192	     64		   1
   8192	    128		   1
   8192	    256		   1
   8192	    512		   1
   8192	   1024		   1
   8192	   2048		   1
   8192	   4096		   1
Size of memory array: 16384
  16384	      4		   1
  16384	      8		   1
  16384	     16		   1
  16384	     32		   1
  16384	     64		   1
  16384	    128		   1
  16384	    256		   1
  16384	    512		   1
  16384	   1024		   1
  16384	   2048		   1
  16384	   4096		   1
  16384	   8192		   1
Size of memory array: 32768
  32768	      4		   1
  32768	      8		   1
  32768	     16		   1
  32768	     32		   1
  32768	     64		   1
  32768	    128		   1
  32768	    256		   1
  32768	    512		   1
  32768	   1024		   1
  32768	   2048		   1
  32768	   4096		   1
  32768	   8192		   1
  32768	  16384		   1
Size of memory array: 65536
  65536	      4		   1
  65536	      8		   1
  65536	     16		   1
  65536	     32		   1
  65536	     64		   3
  65536	    128		   3
  65536	    256		   3
  65536	    512		   3
  65536	   1024		   5
  65536	   2048		   4
  65536	   4096		   6
  65536	   8192		   1
  65536	  16384		   1
  65536	  32768		   1
Size of memory array: 131072
 131072	      4		   1
 131072	      8		   1
 131072	     16		   1
 131072	     32		   1
 131072	     64		   3
 131072	    128		   3
 131072	    256		   3
 131072	    512		   3
 131072	   1024		   5
 131072	   2048		   7
 131072	   4096		   9
 131072	   8192		   6
 131072	  16384		   1
 131072	  32768		   1
 131072	  65536		   1
Size of memory array: 262144
 262144	      4		   1
 262144	      8		   1
 262144	     16		   1
 262144	     32		   1
 262144	     64		   3
 262144	    128		   3
 262144	    256		   3
 262144	    512		   3
 262144	   1024		   5
 262144	   2048		   7
 262144	   4096		  11
 262144	   8192		   8
 262144	  16384		   7
 262144	  32768		   1
 262144	  65536		   1
 262144	 131072		   1
Size of memory array: 524288
 524288	      4		   1
 524288	      8		   1
 524288	     16		   1
 524288	     32		   2
 524288	     64		   4
 524288	    128		   4
 524288	    256		   4
 524288	    512		   4
 524288	   1024		   6
 524288	   2048		   8
 524288	   4096		  12
 524288	   8192		  11
 524288	  16384		  10
 524288	  32768		   7
 524288	  65536		   2
 524288	 131072		   1
 524288	 262144		   1
Size of memory array: 1048576
1048576	      4		   1
1048576	      8		   1
1048576	     16		   1
1048576	     32		   2
1048576	     64		   4
1048576	    128		   4
1048576	    256		   4
1048576	    512		   3
1048576	   1024		   6
1048576	   2048		   8
1048576	   4096		  12
1048576	   8192		  13
1048576	  16384		  12
1048576	  32768		  10
1048576	  65536		   7
1048576	 131072		   2
1048576	 262144		   1
1048576	 524288		   1
Size of memory array: 2097152
2097152	      4		   1
2097152	      8		   1
2097152	     16		   1
2097152	     32		   2
2097152	     64		   4
2097152	    128		   4
2097152	    256		   5
2097152	    512		   4
2097152	   1024		   6
2097152	   2048		   8
2097152	   4096		  13
2097152	   8192		  12
2097152	  16384		  12
2097152	  32768		  12
2097152	  65536		  10
2097152	 131072		   7
2097152	 262144		   2
2097152	 524288		   1
2097152	1048576		   1
Size of memory array: 4194304
4194304	      4		   1
4194304	      8		   1
4194304	     16		   1
4194304	     32		   2
4194304	     64		   4
4194304	    128		   4
4194304	    256		   5
4194304	    512		   3
4194304	   1024		   6
4194304	   2048		   8
4194304	   4096		  12
4194304	   8192		  13
4194304	  16384		  13
4194304	  32768		  12
4194304	  65536		  11
4194304	 131072		  12
4194304	 262144		   8
4194304	 524288		   1
4194304	1048576		   3
4194304	2097152		   1
Size of memory array: 8388608
8388608	      4		   1
8388608	      8		   1
8388608	     16		   1
8388608	     32		   2
8388608	     64		   5
8388608	    128		   5
8388608	    256		   6
8388608	    512		   5
8388608	   1024		   6
8388608	   2048		   8
8388608	   4096		  15
