#Data of CPU Clock Frequency
#Sr No	CPU Speed
0	2199000
1	2199500
2	2208250
3	2104250
4	2017875
5	2048625
6	2051625
7	2013250
8	2406125
9	2382750
10	2200000
11	2216750
12	2199875
13	2152625
14	2030875
15	2064625
16	2065750
17	2175875
18	1931750
19	2200500
20	2200125
21	2200000
22	2300500
23	2399750
24	2399875
25	2063500
26	2499500
27	2426250
28	2436250
29	2462250
30	2199750
31	2200500
32	2161000
33	2100000
34	2036375
35	2026375
36	2244500
37	2473375
38	2464750
39	2391750
40	2208500
41	2200625
42	2200125
43	2199125
44	2460375
45	2399625
46	2136125
47	2500000
48	2500125
49	2507625
50	2470125
51	2200250
52	2243375
53	2185250
54	2435125
55	2434125
56	2099750
57	2264500
58	2128500
59	2400500
60	2500375
61	1999625
62	1948125
63	1999875
64	1999625
65	2000125
66	2142000
67	2209125
68	2496500
69	2269875
70	2135250
71	2314125
72	2254250
73	1999875
74	2266625
75	1987375
76	2391250
77	2183250
78	2098000
79	2159250
80	2289750
81	2099875
82	2500000
83	1899750
84	1960625
85	1900000
86	1966000
87	2066875
88	2100125
89	2201000
90	2047000
91	2500625
92	2100500
93	1999875
94	1870375
95	1873625
96	1961500
97	2439875
98	1999875
99	2261875
100	2200375
101	2232125
102	2158000
103	2477500
104	2128250
105	2099750
106	2460750
107	2499500
108	1972250
109	2100250
110	2000000
111	2365500
112	2260375
113	2300250
114	2234125
115	2441500
116	2268125
117	2100500
118	2059875
119	2500750
120	1923500
121	1900125
122	1971125
123	2000625
124	2300750
125	2255000
126	2299375
127	2208875
128	2264750
129	2500375
130	2447125
131	2000625
132	1870375
133	1900375
134	1965250
135	1972250
136	1800375
137	2100000
138	2300500
139	2199750
140	2300500
141	2175500
142	2233500
143	2462000
144	2299750
145	1999875
146	2233500
147	2093250
148	1900125
149	1962375
150	2035875
151	2000750
152	2136500
153	2164750
154	2137000
155	2170750
156	2299625
157	2199750
158	2325250
159	2564875
160	2273625
161	2092000
162	2465000
163	1928500
164	1927750
165	1964875
166	2097500
167	2008125
168	2061250
169	2127750
170	2125750
171	2136875
172	2200250
173	2300000
174	2363125
175	2499875
176	2501125
177	2567375
178	2337500
179	2074750
180	1930000
181	1900000
182	1900125
183	2030375
184	2029125
185	2164250
186	2028125
187	2100125
188	2100250
189	2100625
190	2155500
191	2136375
192	2125125
193	2107000
194	2201000
195	2199000
196	2300500
197	2300375
198	2399750
199	2370750
200	2442250
201	2591125
202	2499625
203	2509375
204	2510375
205	2541250
206	2534000
207	2500000
208	2365375
209	2213000
210	1960750
211	1971375
212	1958625
213	2068750
214	2100000
215	2034875
216	2162125
217	2135375
218	2106125
219	2136625
220	2071500
221	2035250
222	2124750
223	2100000
224	2064250
225	2100125
226	2099875
227	2099375
228	2099250
229	2099875
230	2100125
231	2068500
232	2099625
233	2108250
234	2164000
235	2234500
236	2235750
237	2236875
238	2299875
239	2370625
240	2370000
241	2399375
242	2426750
243	2456000
244	2408375
245	2462125
246	2470750
247	2599500
248	2562500
249	2563750
250	2565250
251	2509125
252	2538375
253	2537000
254	2571125
255	2509875
256	2563875
257	2499375
258	2465000
259	2591125
260	2300125
261	2399250
262	2300125
263	1936375
264	1900000
265	1933875
266	2251125
267	2000000
268	1975500
269	2000000
270	2029250
271	1999875
272	2030750
273	2100000
274	2100250
275	2094000
276	2076000
277	2559750
278	2140250
279	2134000
280	2134875
281	2129250
282	2107500
283	2155125
284	2069625
285	2064750
286	2070625
287	2035500
288	2500625
289	2130125
290	2143125
291	2145875
292	2099875
293	2100000
294	2100125
295	2100125
296	2100000
297	2044125
298	2100125
299	2091250
300	2099250
301	2091500
302	2100000
