#Data of CPU Clock Frequency
#Sr No	CPU Speed
0	848250
1	1199750
2	1158625
3	1194375
4	1091250
5	1000125
6	999875
7	1099750
8	1210875
9	1200000
10	1199875
11	1099875
12	1100125
13	1090750
14	1081625
15	1017750
16	1108000
17	1107375
18	1179375
19	1189875
20	1100375
21	1120250
22	1247875
23	1065625
24	1199875
25	1200250
26	1100000
27	1122750
28	1135625
29	1111250
30	1099875
31	1100000
32	1100000
33	1057625
34	1005125
35	1000250
36	1108125
37	1100000
38	1107750
39	1282375
40	1128000
41	1116625
42	1233125
43	1147125
44	1100000
45	1200000
46	1120125
47	1100250
48	1300000
49	1264125
50	1280625
51	1299750
52	1107000
53	1133625
54	1300250
55	1199750
56	1050750
57	1200250
58	1070125
59	1200125
60	1042875
61	1200250
62	905375
63	999875
64	959750
65	918750
66	999750
67	1100125
68	1299875
69	1199875
70	1100125
71	1063125
72	1000250
73	939375
74	985625
75	999875
76	942250
77	1091125
78	1099875
79	1100250
80	1133375
81	1061875
82	1191875
83	1064375
84	932125
85	900000
86	971125
87	1159250
88	1007250
89	1100125
90	999875
91	1200125
92	1169750
93	1200500
94	900125
95	900000
96	1000000
97	952500
98	1000000
99	1064000
100	1099875
101	1151000
102	1099875
103	1099625
104	1200375
105	1300125
106	900250
107	900125
108	943875
109	932250
110	950750
111	1000000
112	1168500
113	1099875
114	1100375
115	1099875
116	1199875
117	1253500
118	1034625
119	899875
120	951000
121	1051625
122	948250
123	1077875
124	1006875
125	1200250
126	1099750
127	1100375
128	1190750
129	1199500
130	1199750
131	1081625
132	925750
133	900000
134	900000
135	924750
136	999875
137	1000000
138	1000000
139	1100000
140	1099750
141	1099875
142	1071750
143	1099875
144	1000125
145	1299750
146	1199875
147	899875
148	881500
149	900000
150	900000
151	906750
152	900000
153	920875
154	1023875
155	1035000
156	1066625
157	1058875
158	1072625
159	1055000
160	1091750
161	1000000
162	1150375
163	1300000
164	1121875
165	947500
166	883250
167	900000
168	900000
169	800750
170	900000
171	918000
172	906875
173	958375
174	965750
175	956625
176	1000000
177	941625
178	960625
179	999875
180	1000000
181	1027500
182	1099875
183	1199875
184	1219500
185	1281125
186	1267125
187	1155000
188	1199875
189	1099875
190	878750
191	850000
192	851250
193	875125
194	899875
195	931750
196	946125
197	899875
198	943500
199	925000
200	999875
201	983375
202	972250
203	991750
204	988875
205	966500
206	950625
207	991625
208	958500
209	983375
210	945625
211	1000000
212	973875
213	1000000
214	1050000
215	1049750
216	1129375
217	1116750
218	1148125
219	1224625
220	1258375
221	1299875
222	1294750
223	1299875
224	1299875
225	1299875
226	1299875
227	1297125
228	1297750
229	1300000
230	1180250
231	989625
232	1184000
233	996500
234	873250
235	799875
236	895875
237	825125
238	840250
239	899875
240	850125
241	858250
242	900000
243	899875
244	852500
245	933500
246	933250
247	916375
248	905750
249	925125
250	1199875
251	933500
252	925000
253	928750
254	999875
255	999875
256	962750
257	982375
258	991625
259	979875
260	975750
261	952250
262	991625
263	974875
264	961125
265	947250
266	991625
267	999875
268	968875
269	1000000
270	958375
271	975125
272	983625
273	895750
274	998500
275	1008250
276	999875
277	1000000
278	1000000
279	1008250
280	1057625
281	1031250
282	1053375
283	1041625
284	1016500
285	1155250
286	1141500
287	1100000
288	1108375
289	1099875
290	1216750
291	1200000
292	1200000
293	1219875
294	1224875
295	1208375
296	1225000
297	1208250
298	1200000
299	1324750
300	1308250
301	1299875
302	1300000
303	1299875
304	1325125
305	1324875
306	1199875
307	1308250
308	1299875
309	1308250
310	1299875
311	1310750
312	1299875
313	1316500
314	1299875
315	1300000
316	1300000
317	1258500
318	1300000
319	1299875
320	1298375
321	1300000
322	1299875
323	1299875
324	1299875
325	1100000
326	1176250
327	1100000
328	871250
329	840750
330	1099875
331	855125
332	857625
333	1200000
334	863750
335	849750
336	878125
337	847750
338	867500
339	836875
340	899875
341	899875
342	899875
343	900000
344	899875
345	900000
346	900000
347	899875
348	928125
349	924375
350	927625
351	1299875
352	941250
353	900000
354	908375
355	916625
356	908375
357	922625
358	924625
359	899875
360	918250
361	925375
362	925000
363	924875
364	924750
365	899875
366	925000
367	916500
368	916625
369	924500
370	1247500
371	870125
372	941375
373	899875
374	933375
375	992250
376	980375
377	966750
378	949000
379	941750
380	1100000
381	974875
382	999875
383	999875
384	951250
385	945500
386	899875
387	935250
388	933000
389	967000
390	900000
391	947000
392	941375
393	999875
394	899875
395	924875
396	955250
397	947750
398	975625
399	950000
400	999875
401	999875
402	975000
403	924875
404	924750
405	937125
406	974875
407	985375
408	983750
409	984125
410	958125
411	980250
412	1016375
413	1002500
414	999875
415	1000000
416	1041625
417	1008125
418	1016500
419	999875
420	1000000
421	1007125
422	999875
423	1074875
424	1083250
425	1062625
426	1000000
427	1074875
428	1016500
429	1099875
430	1041500
431	1045000
432	1300000
433	1189375
434	1191625
435	1149875
436	1177750
437	1183250
438	1125000
439	1167125
440	1199875
441	1150875
442	1199875
443	1174875
444	1199875
445	1216750
446	1234875
447	1199875
448	1199875
449	1200000
450	1231625
451	1200000
452	1274125
453	1200000
454	1271500
455	1233125
456	1256000
457	1253125
458	1224875
459	1233500
460	1300000
461	1299875
462	1275000
463	1299875
464	1316625
465	1274875
466	1299875
467	1299875
468	1316500
469	1300000
470	1309125
471	1300000
472	1299875
473	1300000
474	1300000
475	1357000
476	1300000
477	1299875
478	1316750
479	1299875
480	1299875
481	1299875
482	1299875
483	1316625
484	1350000
485	1316375
486	1338750
487	1316500
488	1324875
489	1322250
490	1316500
491	1325125
492	1333375
493	1340875
494	1325000
495	1300000
496	1316625
497	1300000
498	1323375
499	1308250
500	1300000
501	1299875
502	1299875
503	1299875
504	1316500
505	1341625
506	1333375
507	1299875
508	1318875
509	1299875
510	1308375
511	1299875
512	1199875
513	1299875
514	1299875
515	1313875
516	1325125
517	1324750
518	1316750
519	1324000
520	1341875
521	1331000
522	1316625
523	1316625
524	1308375
525	1300000
526	1300000
527	1306875
528	1299875
529	1312625
530	1300000
531	1310250
532	1371375
533	1307500
534	1314375
535	1333000
536	1324875
537	1300000
