33554432	      4 	   1
33554432	      8 	   1
33554432	     16 	   2
33554432	     32 	   5
33554432	     64 	  12
33554432	    128 	  15
33554432	    256 	  15
33554432	    512 	  12
33554432	   1024 	  13
33554432	   2048 	  15
33554432	   4096 	  18
33554432	   8192 	  22
33554432	  16384 	  22
33554432	  32768 	  21
33554432	  65536 	  21
33554432	 131072 	  26
33554432	 262144 	  28
33554432	 524288 	  16
33554432	1048576 	  29
33554432	2097152 	  25
33554432	4194304 	   7
33554432	8388608 	   5
33554432	16777216 	   2
