268435456	      4 	   1
268435456	      8 	   1
268435456	     16 	   2
268435456	     32 	   6
268435456	     64 	  11
268435456	    128 	  15
268435456	    256 	  18
268435456	    512 	  14
268435456	   1024 	  15
268435456	   2048 	  16
268435456	   4096 	  20
268435456	   8192 	  23
268435456	  16384 	  28
268435456	  32768 	  27
268435456	  65536 	  22
268435456	 131072 	  28
268435456	 262144 	  50
268435456	 524288 	  91
268435456	1048576 	 169
268435456	2097152 	 108
268435456	4194304 	  41
268435456	8388608 	  30
268435456	16777216 	  20
268435456	33554432 	   7
268435456	67108864 	   6
268435456	134217728 	   2
