134217728	      4 	   1
134217728	      8 	   1
134217728	     16 	   2
134217728	     32 	   6
134217728	     64 	  11
134217728	    128 	  15
134217728	    256 	  17
134217728	    512 	  14
134217728	   1024 	  15
134217728	   2048 	  17
134217728	   4096 	  20
134217728	   8192 	  21
134217728	  16384 	  22
134217728	  32768 	  22
134217728	  65536 	  23
134217728	 131072 	  28
134217728	 262144 	  42
134217728	 524288 	  71
134217728	1048576 	 111
134217728	2097152 	  42
134217728	4194304 	  31
134217728	8388608 	  25
134217728	16777216 	   7
134217728	33554432 	   5
134217728	67108864 	   2
