#Data of CPU Clock Frequency
#Sr No	CPU Speed
0	1398250
1	1560000
2	1409250
3	1389750
4	1395500
5	1299875
6	1500125
7	1506500
8	1560875
9	1458875
10	1592125
11	1410250
12	1400000
13	1341750
14	1588125
15	1300125
16	1400250
17	1417125
18	1405500
19	1400125
20	1482500
21	1431375
22	1426000
23	1347000
24	1338125
25	1301375
26	1428750
27	1600000
28	1600000
29	1655875
30	1611750
31	1437625
32	1406125
33	1384000
34	1300125
35	1358625
36	1312250
37	1564625
38	1600125
39	1600125
40	1442000
41	1443750
42	1400000
43	1400250
44	1323750
45	1582625
46	1424000
47	1398875
48	1500250
49	1429625
50	1477875
51	1632375
52	1577125
53	1400125
54	1527250
55	1400000
56	1380625
57	1549250
58	1400125
59	1489000
60	1400000
61	1372875
62	1695375
63	1333250
64	1300125
65	1300250
66	1318125
67	1464000
68	1302875
69	1404875
70	1600125
71	1594375
72	1300125
73	1226000
74	1300125
75	1287250
76	1365500
77	1315750
78	1412500
79	1363125
80	1432875
81	1600125
82	1474250
83	1282875
84	1256500
85	1306125
86	1237625
87	1337000
88	1339125
89	1354375
90	1360125
91	1400125
92	1500125
93	1400000
94	1400125
95	1514000
96	1244750
97	1286375
98	1300125
99	1427875
100	1492625
101	1428750
102	1472250
103	1400250
104	1500125
105	1395125
106	1301875
107	1636250
108	1256250
109	1300125
110	1242375
111	1300125
112	1475500
113	1437250
114	1480000
115	1456875
116	1400250
117	1500250
118	1413500
119	1605750
120	1224625
121	1247750
122	1300125
123	1250375
124	1366875
125	1483375
126	1500125
127	1399875
128	1424875
129	1400125
130	1400000
131	1553750
132	1628375
133	1238375
134	1221375
135	1364125
136	1298875
137	1342500
138	1315750
139	1400000
140	1440375
141	1402250
142	1358375
143	1380125
144	1400250
145	1640750
146	1476375
147	1563875
148	1510250
149	1217125
150	1264000
151	1299000
152	1339375
153	1285250
154	1326750
155	1361125
156	1402125
157	1320125
158	1400125
159	1471625
160	1500125
161	1618625
162	1522875
163	1508000
164	1200000
165	1126125
166	1200000
167	1400000
168	1240500
169	1281500
170	1259875
171	1300250
172	1308250
173	1363500
174	1338125
175	1345500
176	1377875
177	1400000
178	1500125
179	1595125
180	1700000
181	1611875
182	1600000
183	1415250
184	1300000
185	1400125
186	1473375
187	1196250
188	1216500
189	1267375
190	1257000
191	1300125
192	1300125
193	1300125
194	1479500
195	1300000
196	1312625
197	1300125
198	1322375
199	1320125
200	1344250
201	1309500
202	1300125
203	1336875
204	1400125
205	1385750
206	1422000
207	1482250
208	1433125
209	1538000
210	1611750
211	1605375
212	1628625
213	1600000
214	1655875
215	1616000
216	1500125
217	1500125
218	1300000
219	1500125
220	1500000
221	1196000
222	1285000
223	1220250
224	1205125
225	1200000
226	1248125
227	1260875
228	1249625
229	1297500
230	1341000
231	1361375
232	1339250
233	1316000
234	1299875
235	1300000
236	1202500
237	1339000
238	1300125
239	1300125
240	1331625
241	1300250
242	1299875
243	1300000
244	1332500
245	1302750
246	1300250
247	1200125
248	1400250
249	1300125
250	1320875
251	1300125
252	1412875
253	1331125
254	1316000
255	1341875
256	1466125
257	1400000
258	1400000
259	1400125
260	1494125
261	1499250
262	1369250
263	1427125
264	1438000
265	1600000
266	1600000
267	1600125
268	1600125
269	1531625
270	1524125
271	1552500
272	1687000
273	1699250
274	1700000
275	1711875
276	1700000
277	1700000
278	1677750
279	1700000
280	1682625
281	1648625
282	1677375
283	1664875
284	1627000
285	1663500
286	1600125
287	1666000
288	1629625
289	1520750
290	1645000
291	1668375
292	1500125
293	1500250
294	1300000
295	1482750
296	1300125
297	1122625
298	1266250
299	1222500
300	1200000
301	1213375
302	1200000
303	1225000
304	1251250
305	1291000
306	1292375
307	1288000
308	1300000
309	1285250
310	1235250
311	1242625
312	1288500
313	1300000
314	1342125
315	1336625
316	1300000
317	1373000
318	1393250
319	1367750
320	1380500
321	1386750
322	1342625
323	1326000
324	1300250
325	1300250
326	1300125
327	1300000
328	1300000
329	1300125
330	1300125
331	1332125
332	1299875
333	1329000
334	1331125
335	1300250
336	1500375
337	1300250
338	1328750
339	1333250
340	1334000
341	1344875
342	1319250
343	1308750
344	1485125
345	1336375
346	1312125
347	1305250
348	1300750
349	1305375
350	1310000
351	1347625
352	1360750
353	1299750
354	1300000
355	1304625
356	1304500
357	1302500
358	1353375
359	1346125
360	1363500
361	1311500
362	1387375
363	1371875
364	1308250
365	1341125
366	1362375
367	1398000
368	1367500
369	1400000
370	1415125
371	1410125
372	1355375
373	1400000
374	1360000
375	1400000
