#Data of CPU Clock Frequency
#Sr No	CPU Speed
528	3253875
529	3199875
530	3203875
531	3199875
532	3200000
533	3200000
534	3200000
535	3200000
536	3322625
537	3216500
538	3224875
539	3283125
540	3263625
541	3224500
542	3241000
543	3249750
544	3216625
545	3224375
546	3265750
547	3208250
548	3225000
549	3258625
550	3282375
551	3224375
552	3263125
553	3200000
554	3200000
555	3199875
556	3200000
557	3199875
558	3267000
559	3199875
560	3199875
561	3200000
562	3199875
563	3368125
564	3208250
565	3216500
566	3332000
567	3283875
568	3216500
569	3265375
570	3209500
571	3216250
572	3265125
573	3344750
574	3216500
575	3199875
576	3199875
577	3199875
578	3200000
579	3199875
580	3199875
581	3200000
582	3199875
583	3264500
584	3249625
585	3283875
586	3211125
587	3347625
588	3208125
589	3208250
590	3200000
591	3250125
592	3350375
593	3216625
594	3323750
595	3199875
596	3200000
597	3199875
598	3199875
599	3241000
600	3200000
601	3200000
602	3200000
603	3249125
604	3199875
605	3200000
606	3199875
607	3216500
608	3199875
609	3250125
610	3199875
611	3266125
612	3199875
613	3200000
614	3249750
615	3199875
616	3265250
617	3200000
618	3233125
619	3259375
620	3369500
621	3233000
622	3301750
623	3375375
624	3258000
625	3242375
626	3241500
627	3224750
628	3233125
629	3213750
630	3261500
631	3225125
632	3208250
633	3210875
634	3318625
635	3266875
636	3199875
637	3199875
638	3199875
639	3208250
640	3325125
641	3216625
642	3264875
643	3265375
644	3283750
645	3265750
646	3264875
647	3249625
648	3208250
649	3208250
650	3220500
651	3269875
652	3249500
653	3208250
654	3333125
655	3262875
656	3300375
657	3269875
658	3224750
659	3241500
660	3266125
661	3229375
662	3208125
663	3216500
664	3262000
665	3334250
666	3321875
667	3225375
668	3348500
669	3266125
670	3286375
671	3244250
672	3208125
673	3233000
674	3266750
675	3389875
676	3342500
677	3266875
678	3283250
679	3262750
680	3200000
681	3200000
682	3200000
683	3208375
684	3241750
685	3261250
686	3214625
687	3216625
688	3227250
689	3216625
690	3208375
691	3274875
692	3236000
693	3208250
694	3216250
695	3257875
696	3269375
697	3404875
698	3304625
699	3250000
700	3258875
701	3316750
702	3449875
703	3477375
704	3452750
705	3400000
706	3300000
707	3200000
708	3300000
709	3199875
710	3399875
711	3200000
712	3400000
713	3316500
714	3316625
715	3449375
716	3332875
717	3343125
718	3450875
719	3450125
720	3450250
721	3316250
722	3333000
723	3299875
724	3399875
725	3400000
726	3200000
727	3434500
728	3199875
729	3300000
730	3299875
731	3399875
732	3300000
733	3299875
734	3300000
735	3599875
736	3602125
737	3998875
738	3998875
739	3998875
740	3999250
741	3999250
742	3999250
743	3997250
744	3999250
745	3913750
746	3871750
747	3859750
748	3842375
749	3499875
750	3300000
751	3300000
752	3299875
753	3299875
754	3449625
755	3199875
756	3400000
757	3416625
758	3308125
759	3299875
760	3416375
761	3900375
762	3771750
763	3900250
764	3673625
765	3687500
766	3729125
767	3724250
768	3900250
769	3900500
770	3900250
771	3792000
772	3802000
773	3676375
774	3745250
775	3708000
776	3808875
777	3900500
778	3800250
779	3821625
780	3694375
781	3900250
782	3900500
783	3754250
784	3743125
785	3706000
786	3721125
787	3766125
788	3900375
789	3841125
790	3758000
791	3900500
792	3900750
793	3844625
794	3900875
795	3832875
796	3900250
797	3901000
798	3900750
799	3900375
800	3850625
801	3900875
802	3779375
803	3901000
804	3900500
805	3900625
806	3901000
807	3879750
808	3900875
809	3900750
810	3894000
811	3900250
812	3894875
813	3900500
814	3900500
815	3875125
816	3750250
817	3748250
818	3748125
819	3840250
820	3841375
821	3841625
822	3889250
823	3900625
824	3889125
825	3899000
826	3741750
827	3735000
828	3900375
829	3900250
830	3880000
831	3900750
832	3900750
833	3842750
834	3901125
835	3900875
836	3901125
837	3901250
838	3824875
839	3744125
840	3787750
841	3811125
842	3766125
843	3741125
844	3764125
845	3780375
846	3874875
847	3901250
848	3894250
849	3900125
850	3900375
851	3900375
852	3894125
853	3708500
854	3900375
855	3900375
856	3900375
857	3884750
858	3896500
859	3874000
860	3900125
861	3895750
862	3900750
863	3755125
864	3900625
865	3900125
866	3792000
867	3840625
868	3875250
869	3901125
870	3901250
871	3855500
872	3900500
873	3876875
874	3901250
875	3898375
876	3878000
877	3884000
878	3900750
879	3895375
880	3900750
881	3901500
882	3900250
883	3794500
884	3880125
885	3900250
886	3900375
887	3900250
888	3900875
889	3888500
890	3900500
891	3765750
892	3901000
893	3900750
894	3900500
895	3749000
896	3900875
897	3736000
898	3876375
899	3900375
900	3900875
901	3900250
902	3900625
903	3900375
904	3900375
905	3900375
906	3900625
907	3870500
908	3900875
909	3893750
910	3900625
911	3901375
912	3900750
913	3901250
914	3896500
915	3893750
916	3901125
917	3901625
918	3869125
919	3901375
920	3901125
921	3901000
922	3900750
923	3901000
924	3900750
925	3900625
926	3900750
927	3835625
928	3900875
929	3901125
930	3901000
931	3901375
932	3900375
933	3901000
934	3900875
935	3900875
936	3901000
937	3901250
938	3863750
939	3865250
940	3900750
941	3900500
942	3900500
943	3900375
944	3748500
945	3752125
946	3881375
947	3900375
948	3890500
949	3883875
950	3900375
951	3900375
952	3900500
953	3899000
954	3900250
955	3878625
956	3900375
957	3900250
958	3900375
959	3900375
960	3888000
961	3898000
962	3900250
963	3899500
964	3900875
965	3863125
966	3900875
967	3901625
968	3827125
969	3847000
970	3894000
971	3878375
972	3901000
973	3893750
974	3901125
975	3901500
976	3900875
977	3900750
978	3883250
979	3830375
980	3901125
981	3900625
982	3838625
983	3883875
984	3900875
985	3723875
986	3833125
987	3901125
988	3888250
989	3900375
990	3875375
991	3900625
992	3900375
993	3862625
994	3900375
995	3900375
996	3897375
997	3888750
998	3900375
999	3900375
1000	3900375
1001	3876875
1002	3900375
1003	3797250
1004	3894250
1005	3900375
1006	3900000
1007	3900375
1008	3900375
1009	3892125
1010	3900375
1011	3901125
1012	3814500
1013	3900875
1014	3901125
1015	3866375
1016	3901125
1017	3901000
1018	3881625
1019	3881500
1020	3901000
1021	3900875
1022	3901125
1023	3876375
1024	3900375
1025	3900375
1026	3892500
1027	3900250
1028	3900375
1029	3899375
1030	3900375
1031	3900125
1032	3901875
1033	3860000
1034	3799000
1035	3883375
1036	3900375
1037	3896000
1038	3900625
1039	3900500
1040	3900375
1041	3900750
1042	3901250
1043	3900500
1044	3901125
1045	3831250
1046	3900750
1047	3901500
1048	3853625
1049	3875625
1050	3901125
1051	3829625
1052	3901750
1053	3891375
1054	3901000
1055	3901250
1056	3900750
1057	3900750
1058	3901000
1059	3901000
1060	3901375
1061	3900500
1062	3900250
1063	3744000
1064	3838125
1065	3901000
1066	3900875
1067	3901125
1068	3894125
1069	3892250
1070	3892625
1071	3900375
1072	3900375
1073	3894375
1074	3900375
1075	3897375
1076	3900250
1077	3893375
1078	3900375
1079	3892125
1080	3900500
1081	3900625
1082	3900500
1083	3900625
1084	3901250
1085	3900875
1086	3901250
1087	3900750
1088	3901000
1089	3870625
1090	3902000
1091	3901250
1092	3901125
1093	3749875
1094	3821125
1095	3834875
1096	3900750
1097	3900375
1098	3898750
1099	3900250
1100	3901000
1101	3900375
1102	3900375
1103	3900250
1104	3900750
1105	3900375
1106	3900375
1107	3900625
1108	3818750
1109	3901500
1110	3900875
1111	3893750
1112	3901000
1113	3900250
1114	3901500
1115	3806125
1116	3901250
1117	3805000
1118	3901375
1119	3900625
1120	3901000
1121	3874750
1122	3901750
1123	3718000
1124	3901000
1125	3901000
1126	3901250
1127	3901125
1128	3900875
1129	3901250
1130	3901375
1131	3901000
1132	3825500
1133	3883500
1134	3898000
1135	3900750
1136	3900375
1137	3901000
1138	3844500
1139	3854375
1140	3900750
1141	3871375
1142	3900375
1143	3901500
1144	3828250
1145	3900625
1146	3900500
1147	3901000
1148	3901000
1149	3890875
1150	3900750
1151	3900500
1152	3892000
1153	3900375
1154	3900625
1155	3540500
1156	3900500
1157	3900750
1158	3901125
1159	3900500
1160	3900500
1161	3900875
1162	3886875
1163	3865375
1164	3901125
1165	3901000
1166	3901875
1167	3771250
1168	3900750
1169	3900875
1170	3901500
1171	3901250
1172	3901125
1173	3900875
1174	3875000
1175	3900750
1176	3901750
1177	3892375
1178	3901250
1179	3900875
1180	3901000
1181	3901250
1182	3871500
1183	3900375
1184	3900625
1185	3900000
1186	3900750
1187	3900625
1188	3900750
1189	3901000
1190	3900500
1191	3901125
1192	3810000
1193	3878625
1194	3901250
1195	3900625
1196	3756750
1197	3901250
1198	3900875
1199	3848625
1200	3901000
1201	3900750
1202	3900750
1203	3841875
1204	3865625
1205	3810625
1206	3901000
1207	3872000
1208	3900875
1209	3901125
1210	3764500
1211	3767375
1212	3889750
1213	3901000
1214	3846250
1215	3874875
1216	3901125
1217	3901500
1218	3900875
1219	3901000
1220	3901000
1221	3846375
1222	3901000
1223	3854375
1224	3901000
1225	3901125
1226	3794500
1227	3900875
1228	3900375
1229	3901375
1230	3900500
1231	3901250
1232	3901125
1233	3900750
1234	3866750
1235	3900875
1236	3901375
1237	3725250
1238	3900750
1239	3901250
1240	3901000
1241	3699875
1242	3885625
1243	3901250
1244	3900625
1245	3889625
1246	3901125
1247	3901125
1248	3898125
1249	3901250
1250	3882125
1251	3901125
1252	3901375
1253	3836375
1254	3865625
1255	3901000
1256	3900875
1257	3891875
1258	3881250
1259	3901250
1260	3900875
1261	3873875
1262	3786625
1263	3900875
1264	3900750
1265	3901000
1266	3803625
1267	3895375
1268	3900875
1269	3900625
1270	3900625
1271	3890125
1272	3900375
1273	3900875
1274	3900375
1275	3899000
1276	3900750
1277	3900875
1278	3900625
1279	3900875
1280	3900750
1281	3900000
1282	3900750
1283	3891875
1284	3901125
1285	3901125
1286	3866750
1287	3900875
1288	3901000
1289	3855250
1290	3901375
1291	3901375
1292	3901125
1293	3900250
1294	3901250
1295	3875375
1296	3901000
1297	3771000
1298	3901000
1299	3900875
1300	3728500
1301	3901000
1302	3901000
1303	3868000
1304	3901500
1305	3867500
1306	3901000
1307	3898000
1308	3873500
1309	3900500
1310	3901250
1311	3900500
1312	3900625
1313	3900250
1314	3900375
1315	3900625
1316	3863125
1317	3900500
1318	3896625
1319	3881500
1320	3897125
1321	3900500
1322	3900875
1323	3900875
1324	3823250
1325	3813875
1326	3822500
1327	3802000
1328	3739625
1329	3901125
1330	3900750
1331	3900500
1332	3883500
1333	3886375
1334	3900375
1335	3896500
1336	3900750
1337	3900750
1338	3870500
1339	3901000
1340	3901000
1341	3891375
1342	3901875
1343	3901000
1344	3900625
1345	3900750
1346	3901000
1347	3900875
1348	3884000
1349	3875875
1350	3901250
1351	3901250
1352	3798625
1353	3901000
1354	3901125
1355	3901125
1356	3900875
1357	3900625
1358	3901375
1359	3901000
1360	3869875
1361	3901625
1362	3810000
1363	3901375
1364	3901500
1365	3901250
1366	3890250
1367	3901250
1368	3865500
1369	3901375
1370	3901375
1371	3884250
1372	3901250
1373	3901125
1374	3900500
1375	3901000
1376	3901125
1377	3901125
1378	3901250
1379	3869500
1380	3900625
1381	3901000
1382	3774750
1383	3900875
1384	3900875
1385	3901125
1386	3901250
1387	3901000
1388	3901750
1389	3901250
1390	3863750
1391	3900500
1392	3901500
1393	3901000
1394	3901250
1395	3900875
1396	3901125
1397	3900750
1398	3876875
1399	3900625
1400	3900875
1401	3861500
1402	3900750
1403	3900625
1404	3901000
1405	3901250
1406	3901000
1407	3901250
1408	3900625
1409	3865750
1410	3900500
1411	3845500
1412	3892000
1413	3845875
1414	3901000
1415	3900625
1416	3900875
1417	3873625
1418	3878500
1419	3901125
1420	3892375
1421	3901000
1422	3900875
1423	3901250
1424	3887500
1425	3901500
1426	3866750
1427	3900875
1428	3258500
1429	3901000
1430	3882375
1431	3899500
1432	3896250
1433	3900375
1434	3894000
1435	3900625
1436	3900500
1437	3900500
1438	3901375
1439	3872750
1440	3808625
1441	3901250
1442	3840000
1443	3901125
1444	3900625
1445	3796750
1446	3901000
1447	3877750
1448	3901250
1449	3749750
1450	3664375
1451	3900625
1452	3901125
1453	3901375
1454	3901250
1455	3900875
1456	3901500
1457	3901125
1458	3878625
1459	3901000
1460	3901000
1461	3896250
1462	3901000
1463	3901625
1464	3901125
1465	3900750
1466	3760000
1467	3900375
1468	3900500
1469	3857000
1470	3857500
1471	3900875
1472	3882750
1473	3900750
1474	3857375
1475	3752750
1476	3901125
1477	3900875
1478	3901250
1479	3901250
1480	3890500
1481	3900875
1482	3900500
1483	3897125
1484	3901375
1485	3900750
1486	3843250
1487	3901250
1488	3815875
1489	3900750
1490	3873625
1491	3881500
1492	3901250
1493	3900750
1494	3874125
1495	3900875
1496	3901375
1497	3894500
1498	3890875
1499	3900375
1500	3891875
1501	3877500
1502	3900375
1503	3900375
1504	3860125
1505	3900875
1506	3878500
1507	3901125
1508	3893250
1509	3900625
1510	3856875
1511	3900375
1512	3901125
1513	3896500
1514	3897375
1515	3898125
1516	3900375
1517	3900375
1518	3864500
1519	3790750
1520	3900750
1521	3900625
1522	3895875
1523	3900375
1524	3900875
1525	3901125
1526	3854125
1527	3880125
1528	3900625
1529	3900750
1530	3902000
1531	3900250
1532	3900625
1533	3837625
1534	3900500
1535	3901625
1536	3895875
1537	3899875
1538	3902000
1539	3900250
1540	3901375
1541	3901000
1542	3883625
1543	3901750
1544	3871750
1545	3702875
1546	3751375
1547	3809625
1548	3750750
1549	3901500
1550	3900375
1551	3802000
1552	3763750
1553	3743375
1554	3864375
1555	3875375
1556	3710000
1557	3900500
1558	3894750
1559	3901875
1560	3739625
1561	3826000
1562	3786875
1563	3901500
1564	3706125
1565	3716375
1566	3883500
1567	3900750
1568	3888500
1569	3884625
1570	3868000
1571	3900500
1572	3689625
